rainfall_mm,control_L,impact_L
3.86,11214,11475
2.04,2405,4854
2.64,7299,14617
7.87,28616,50141
17.73,108897,108424
14.56,67751,72192
16.41,63833,53347
3.12,4167,10024
1.67,10065,7090
17.72,90958,83433
17.08,70419,70117
2.02,4765,7422
5.76,15460,24659
10.59,30507,20270
3.44,7438,8871
5.86,28154,13533
2.7,2694,5758
1.1,1654,3239
1.78,8099,8722
15.13,41254,33979
1.4,1595,1357
2.31,13842,8115
5.28,11074,8590
4.62,10965,11768
2.57,7255,9779
3.79,8569,9329
1.97,3457,6094
1.16,934,3166
2.87,7833,23092
1.7,3789,11910
4.53,16836,31209
15.08,52060,76985
12.63,57257,94252
3.27,3634,9839
2.27,2357,9069
4.78,16636,26653
1.67,2039,7928
18.01,139864,223458
15.26,81836,184119
2.87,7673,8091
2.88,19269,33768
17.83,63104,127319
3.75,13082,15360
20.4,91372,186757
1.42,4438,21521
6.72,21128,31707
3.95,19151,21926
5.65,13614,23090
8.71,23971,61360
6.8,39706,100056
3.4,9368,20322
6.49,29251,46882
2.29,8794,22369
2.42,9026,13036
2.41,1805,8281
5.46,27910,25396
1.48,790,4654
6.42,26026,59103
7.45,51228,70412
10.8,58640,93681
14.62,71070,111652
1.61,3622,2309
9.29,35842,72913
32.74,222155,290831
18.85,161885,85184
6.08,70706,42292
1.6,6843,4342
3.21,19621,12126
18.44,151344,96790
1.26,5283,3367
12.72,141943,120857
5.16,49070,39955
10.68,106843,79458
1.74,7062,5236
2.37,15847,12891
4.04,18638,14042
2.65,13162,19810
4.59,35410,15500
10.97,42497,167956
2.58,10731,15321
2.79,6185,16693
16.27,140525,176568
3.2,24986,35679
6.83,31418,52178
2.89,26560,16597
2.33,4934,18497
6.69,29121,41068
14.49,97892,88971
15.08,98557,115760
1.61,3057,5141
3.3,15729,19356
3.59,16753,17834
8.13,15450,24395
4.86,28390,40561
8.42,28399,17071
21.61,214230,148710
5.38,38120,27130
4.53,17827,10983
6.67,43668,27599
4.9,23234,15275
15.66,103077,79454
4.15,31175,12447
13.95,96686,97166
3.25,14191,9425
2.16,10850,6488
1.21,2618,1613
8.82,78067,60542
1.9,7274,6874
6.12,40485,34497
2.13,17382,7152
5.05,51867,26993
4.99,44647,25572
6.86,57634,38745
3.97,26133,17466
2.19,8536,6191
4.27,30647,21190
1.38,10341,6511
5.22,43877,18319
12.5,189225,172954
2.52,28766,19098



