Site,Q_StartTime,Q_EndTime,Q_PeakTime,Q_Total_mm,Q_Runoff_mm,Q_Peak_cms.sqkm,Q_Peak_cfs,Q_Duration_hrs,Q_TimeToFlowPeak_hrs,Q_RiseRate_cms.hr,Q_PriorDry_hrs,Q_Runoff_PrecipRatio,Q_Total_PrecipRatio,Precip_StartTime,Precip_EndTime,Precip_Total_mm,Precip_Duration_hrs,Precip_PriorDry_hrs
Urban Control,10/18/2004 23:05,10/20/2004 5:40,10/19/2004 22:20,1.27,0.29,0.018,2,30.58,23.25,0.002,341.75,0.04555,0.2005,10/18/2004 21:55,10/20/2004 4:15,6.35,20.67,53.5
Urban Control,10/20/2004 20:40,10/21/2004 12:45,10/20/2004 23:40,1.33,0.66,0.038,4.2,16.08,3,0.04,14.92,0.03988,0.08075,10/20/2004 15:20,10/21/2004 22:15,16.51,23.33,11.08
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,10/24/2004 3:40,10/24/2004 7:55,2.54,4.25,40.42
Urban Control,11/4/2004 0:45,11/5/2004 18:15,11/4/2004 17:05,6.18,3.38,0.174,19,41.5,16.33,0.033,21.75,0.10991,0.20109,11/4/2004 7:55,11/4/2004 17:05,30.734,9.17,124.67
Urban Control,11/12/2004 3:45,11/13/2004 18:15,11/12/2004 17:05,8.02,4.81,0.174,19,38.5,13.33,0.04,8.42,0.10459,0.17446,11/12/2004 2:05,11/13/2004 0:10,45.974,22.08,177
Urban Control,11/20/2004 1:35,11/20/2004 11:10,11/20/2004 4:00,0.47,0.15,0.018,2,9.58,2.42,0.023,104.75,0.01443,0.04452,11/20/2004 0:35,11/20/2004 19:30,10.668,6.92,9.92
Urban Control,11/24/2004 13:05,11/25/2004 13:20,11/25/2004 9:45,1.41,0.46,0.021,2.3,24.25,20.67,0.003,83,0.05122,0.15813,11/23/2004 20:15,11/25/2004 8:20,8.89,24.92,72.75
Urban Control,11/27/2004 21:50,11/28/2004 22:05,11/28/2004 4:20,2.08,1,0.065,7.1,24.25,6.5,0.031,56.42,0.06936,0.14387,11/28/2004 0:50,11/28/2004 6:35,14.478,5.75,64.5
Urban Control,11/30/2004 23:35,12/2/2004 2:05,12/1/2004 5:30,3.41,1.85,0.091,10,26.5,5.92,0.048,49.42,0.10285,0.18912,11/30/2004 18:15,12/1/2004 9:10,18.034,14.92,59.67
Urban Control,12/7/2004 8:50,12/8/2004 16:05,12/8/2004 0:15,2.39,0.83,0.046,5,31.25,15.42,0.009,126.67,0.08576,0.24777,12/7/2004 2:55,12/7/2004 22:50,9.652,13.5,137.75
Urban Control,12/9/2004 14:25,12/12/2004 4:40,12/9/2004 21:40,14.97,7.87,0.265,29,62.25,7.25,0.113,22.25,0.22611,0.43015,12/9/2004 12:00,12/10/2004 16:40,34.798,21.83,37.17
Urban Control,1/5/2005 5:15,1/5/2005 15:10,1/5/2005 7:40,0.6,0.2,0.022,2.4,9.92,2.42,0.028,12.58,0.01928,0.05718,1/4/2005 22:45,1/6/2005 8:55,10.414,34.17,24.42
Urban Control,1/8/2005 5:35,1/8/2005 19:35,1/8/2005 7:05,0.79,0.23,0.017,1.9,14,1.5,0.036,34.58,0.03177,0.11051,1/7/2005 16:40,1/8/2005 10:50,7.112,18.17,31.75
Urban Control,1/20/2005 11:55,1/20/2005 22:05,1/20/2005 13:00,0.57,0.16,0.017,1.9,10.17,1.08,0.05,66.92,0.05157,0.187,1/20/2005 9:35,1/20/2005 12:20,3.048,2.75,286.75
Urban Control,2/20/2005 12:20,2/22/2005 5:20,2/21/2005 13:30,2.56,0.96,0.044,4.8,41,25.17,0.005,18.83,0.27055,0.71992,2/20/2005 23:00,2/21/2005 22:15,3.556,4.08,104.83
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/25/2005 9:25,2/25/2005 13:40,10.414,4.25,59.25
Urban Control,2/28/2005 3:30,3/2/2005 2:30,3/1/2005 14:25,3.4,1.01,0.044,4.8,47,34.92,0.004,7.42,0.07328,0.24812,2/28/2005 10:55,3/1/2005 12:05,13.716,3.5,69.25
Urban Control,3/7/2005 9:40,3/9/2005 0:15,3/7/2005 12:45,4.07,1.65,0.048,5.2,38.58,3.08,0.048,127.08,0.23193,0.57253,3/8/2005 4:15,3/8/2005 9:15,7.112,5,160.17
Urban Control,4/22/2005 8:10,4/24/2005 16:30,4/23/2005 17:50,5.39,2.14,0.089,9.7,56.33,33.67,0.008,230.25,0.07389,0.18603,4/22/2005 3:30,4/23/2005 16:55,28.956,19.67,13.08
Urban Control,4/30/2005 2:50,5/1/2005 19:00,4/30/2005 8:25,4.83,2.27,0.089,9.7,40.17,5.58,0.049,35,0.08034,0.17128,4/29/2005 23:25,5/1/2005 1:50,28.194,26.42,150.5
Urban Control,5/19/2005 16:25,5/21/2005 5:05,5/20/2005 10:40,4.69,2.71,0.119,13,36.67,18.25,0.02,21.33,0.0834,0.1442,5/19/2005 21:10,5/20/2005 11:55,32.512,14.75,92.42
Urban Control,5/23/2005 11:35,5/25/2005 14:40,5/24/2005 19:40,5.31,1.89,0.063,6.9,51.08,32.08,0.006,54.42,0.06521,0.18346,5/23/2005 13:10,5/24/2005 18:25,28.956,21.17,12.33
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/28/2005 11:40,5/28/2005 12:05,1.016,0.42,89.25
Urban Control,5/30/2005 15:25,5/30/2005 20:25,5/30/2005 16:50,0.27,0.09,0.022,2.4,5,1.42,0.048,18.75,0.01749,0.05102,5/30/2005 14:00,5/30/2005 14:45,5.334,0.75,49.92
Urban Control,6/3/2005 4:05,6/4/2005 0:00,6/3/2005 6:35,1.33,0.5,0.031,3.4,19.92,2.5,0.039,79.58,0.03315,0.08852,6/2/2005 23:10,6/3/2005 18:05,14.986,18.92,80.42
